scenario_id,input_distance,input_speed,input_steering,input_traffic,input_curvature,output_speed,output_steering,position_x,position_y,heading,fuzzy_distance_very_close,fuzzy_distance_close,fuzzy_distance_medium,fuzzy_distance_far,fuzzy_speed_slow,fuzzy_speed_medium,fuzzy_speed_fast,fuzzy_steering_hard_left,fuzzy_steering_left,fuzzy_steering_straight,fuzzy_steering_right,fuzzy_steering_hard_right,fuzzy_traffic_low,fuzzy_traffic_moderate,fuzzy_traffic_high,fuzzy_curvature_straight,fuzzy_curvature_moderate_curve,fuzzy_curvature_sharp_curve
0,47.231,0.0,12.456,0.342,0.567,50.01643473942174,15.179336036847804,2.499944155138641,0.0662463681663276,0.026492939210962147,0.0,0.0,0.3884499999999999,0.24103333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.7544000000000001,0.24559999999999996,0.145,0.4733333333333334,0.0,0.0,0.7766666666666668,0.0
1,12.456,50.01643473942174,-5.678,0.823,0.123,8.99380935660476,-11.987422156576583,2.949627644829675,0.06875155412198387,0.005570940665084085,0.25440000000000007,0.7455999999999999,0.0,0.0,0.0,0.9994521753526087,0.0005478246473913373,0.0,0.45975,0.0,0.0,0.0,0.0,0.0,0.5574999999999999,0.59,0.0,0.0
2,78.901,8.99380935660476,3.456,0.156,0.089,70.8790846771415,5.981631656457751,6.493127646391157,0.12549087564832845,0.016010857369755094,0.0,0.0,0.0,1.0,0.775154766084881,0.0,0.0,0.0,0.0,0.3088,0.182,0.0,0.61,0.0,0.0,0.7033333333333334,0.0,0.0
3,3.456,70.8790846771415,-22.345,0.945,0.234,7.0230607760936765,-24.416896235078056,6.844156418017611,0.11614966843582927,-0.02660466587223685,1.0,0.0,0.0,0.0,0.0,0.3040305107619498,0.6959694892380502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8624999999999999,0.21999999999999992,0.11333333333333334,0.0
4,34.567,7.0230607760936765,-8.901,0.567,0.789,25.002605101476473,-11.694712541079097,8.092905230823096,0.057395458647622556,-0.04701578976384714,0.0,0.0,0.97835,0.0,0.824423480597658,0.0,0.0,0.0,0.862625,0.0,0.0,0.0,0.0,0.7766666666666668,0.0,0.0,0.036666666666666695,0.47250000000000014
5,89.012,25.002605101476473,15.678,0.089,0.045,71.26338317868635,18.709562996545387,11.655706942433936,0.006224969852189746,-0.014361442173945797,0.0,0.0,0.0,1.0,0.3749348724630882,0.16675350338254907,0.0,0.0,0.0,0.0,0.4321999999999999,0.5678000000000001,0.7775000000000001,0.0,0.0,0.8500000000000001,0.0,0.0
6,23.456,71.26338317868635,25.123,0.678,0.456,0.0,24.41689623507805,11.655706942433936,0.006224969852189746,0.02825408106804614,0.0,0.4362666666666667,0.42279999999999995,0.0,0.0,0.2912205607104549,0.7087794392895451,0.0,0.0,0.0,0.0,1.0,0.0,0.4066666666666666,0.19500000000000017,0.0,0.8533333333333334,0.0
7,56.789,0.0,-18.456,0.345,0.234,68.61697557172488,-22.082623667593396,15.086374179361123,-0.029068811485316585,-0.010287367979786924,0.0,0.0,0.0,0.5596333333333334,0.0,0.0,0.0,0.8455999999999999,0.15440000000000004,0.0,0.0,0.0,0.13750000000000012,0.4833333333333332,0.0,0.21999999999999992,0.11333333333333334,0.0
8,67.89,68.61697557172488,7.89,0.234,0.123,70.45968312962819,11.758946902948555,18.609173780726774,0.006991352644077624,0.010235866022577318,0.0,0.0,0.0,0.9296666666666666,0.0,0.3794341476091707,0.6205658523908293,0.0,0.0,0.0,0.73625,0.0,0.415,0.11333333333333334,0.0,0.59,0.0,0.0
9,8.901,70.45968312962819,-14.567,0.901,0.678,16.148662466811672,-17.531526039443225,19.41643951761374,-0.009448802947576405,-0.02036241920616324,0.6099,0.3901,0.0,0.0,0.0,0.31801056234572705,0.681989437654273,0.4567,0.5433,0.0,0.0,0.0,0.0,0.0,0.7525000000000001,0.0,0.4066666666666666,0.19500000000000017
10,45.678,16.148662466811672,2.345,0.456,0.345,0.0,1.747628559113445,19.41643951761374,-0.009448802947576405,-0.01731223196032184,0.0,0.0,0.4661000000000001,0.18926666666666658,0.5962834383297082,0.0,0.0,0.0,0.0,0.5309999999999999,0.043125000000000024,0.0,0.0,0.8533333333333334,0.0,0.0,0.4833333333333332,0.0
11,34.123,0.0,-6.789,0.789,0.567,0.0,-11.860079500434628,19.41643951761374,-0.009448802947576405,-0.03801197564340869,0.0,0.0,0.9561499999999998,0.0,0.0,0.0,0.0,0.0,0.598625,0.0,0.0,0.0,0.0,0.036666666666666695,0.47250000000000014,0.0,0.7766666666666668,0.0
12,76.543,0.0,19.234,0.123,0.078,70.99432017838089,23.22030764023661,22.966144299211486,-0.0005208984770513694,0.002515106521403687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659999999999982,0.9234000000000002,0.6925,0.0,0.0,0.74,0.0,0.0
13,15.678,70.99432017838089,-24.567,0.834,0.345,0.0,-24.416896235078056,22.966144299211486,-0.0005208984770513694,-0.040100416720588256,0.0,0.9548,0.03390000000000004,0.0,0.0,0.3001893273873037,0.6998106726126962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585,0.0,0.4833333333333332,0.0
14,52.345,0.0,0.567,0.567,0.456,0.0,3.8204338025561443e-16,22.966144299211486,-0.0005208984770513694,-0.040100416720588256,0.0,0.0,0.13275000000000006,0.4115,0.0,0.0,0.0,0.0,0.0,0.8865999999999999,0.0,0.0,0.0,0.7766666666666668,0.0,0.0,0.8533333333333334,0.0
15,87.654,0.0,11.234,0.067,0.034,71.32391001886892,13.573873283998553,26.531859670924003,-0.05903789500237272,-0.016409538615161243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766,0.1234,0.8325,0.0,0.0,0.8866666666666667,0.0,0.0
16,28.901,71.32391001886892,-16.789,0.723,0.789,25.002605101476473,-19.023997808053707,27.780451695083478,-0.12103476473215236,-0.04961267847943338,0.0,0.07326666666666667,0.69505,0.0,0.0,0.28920299937103616,0.7107970006289638,0.6789000000000002,0.32109999999999983,0.0,0.0,0.0,0.0,0.2566666666666669,0.3075,0.0,0.036666666666666695,0.47250000000000014
17,63.456,25.002605101476473,5.678,0.289,0.156,69.97590211870697,11.987422156576587,31.2778068742525,-0.22140380406577775,-0.028690679933555313,0.0,0.0,0.0,0.7818666666666668,0.3749348724630882,0.16675350338254907,0.0,0.0,0.0,0.0,0.45975,0.0,0.2775000000000001,0.2966666666666666,0.0,0.48,0.0,0.0
18,19.234,69.97590211870697,20.345,0.789,0.234,0.0,24.41689623507805,31.2778068742525,-0.22140380406577775,0.013924843308436623,0.0,0.7177333333333332,0.21170000000000008,0.0,0.0,0.33413659604310103,0.665863403956899,0.0,0.0,0.0,0.0,1.0,0.0,0.036666666666666695,0.47250000000000014,0.21999999999999992,0.11333333333333334,0.0
19,71.234,0.0,-9.012,0.178,0.089,70.8790846771415,-11.688383068325352,34.821686811761225,-0.24435157512635894,-0.00647523356922685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8765000000000001,0.0,0.0,0.0,0.555,0.0,0.0,0.7033333333333334,0.0,0.0
20,42.567,70.8790846771415,14.567,0.456,0.678,24.998998848192535,11.756903574173867,36.071513482302294,-0.2267973125656626,0.014044434151655485,0.0,0.0,0.62165,0.08556666666666667,0.0,0.3040305107619498,0.6959694892380502,0.0,0.0,0.0,0.5433,0.4567,0.0,0.8533333333333334,0.0,0.0,0.4066666666666666,0.19500000000000017
21,9.012,24.998998848192535,-28.901,0.956,0.123,7.649747291549029,-24.416896235078056,36.45384474391741,-0.23772390641726424,-0.028571089090336458,0.5988,0.40120000000000006,0.0,0.0,0.3750250287951866,0.16663329493975118,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899999999999999,0.59,0.0,0.0
22,58.901,7.649747291549029,8.901,0.345,0.234,68.61697557172488,11.694712541079094,39.88457930154951,-0.2657192023722604,-0.008159965198726176,0.0,0.0,0.0,0.6300333333333334,0.8087563177112743,0.0,0.0,0.0,0.0,0.0,0.862625,0.0,0.13750000000000012,0.4833333333333332,0.0,0.21999999999999992,0.11333333333333334,0.0
23,31.234,68.61697557172488,-12.345,0.612,0.789,25.002605101476473,-15.04356427615375,41.133969267064906,-0.30873511478116744,-0.034415937984154224,0.0,0.0,0.8117000000000001,0.0,0.0,0.3794341476091707,0.6205658523908293,0.23450000000000007,0.7655,0.0,0.0,0.0,0.0,0.6266666666666667,0.030000000000000027,0.0,0.036666666666666695,0.47250000000000014
