distance_obstacle,speed,steering_angle,traffic_density,road_curvature,lane_position,recommended_speed,recommended_steering
47.231,62.315,12.456,0.342,0.567,0.234,55.2,8.5
12.456,35.789,-5.678,0.823,0.123,-0.456,18.4,-3.2
78.901,71.234,3.456,0.156,0.089,0.678,72.5,0.5
3.456,12.345,-22.345,0.945,0.234,0.123,8.5,-17.8
34.567,48.901,-8.901,0.567,0.789,-0.234,42.3,-5.6
89.012,76.543,15.678,0.089,0.045,0.789,78.9,11.2
23.456,28.765,25.123,0.678,0.456,0.345,25.6,20.1
56.789,55.432,-18.456,0.345,0.234,-0.567,52.1,-12.3
67.890,68.901,7.890,0.234,0.123,0.456,65.4,5.6
8.901,18.765,-14.567,0.901,0.678,-0.789,12.3,-11.2
45.678,52.345,2.345,0.456,0.345,0.567,48.9,1.2
34.123,42.789,-6.789,0.789,0.567,-0.234,38.5,-4.5
76.543,73.456,19.234,0.123,0.078,0.234,74.2,15.3
15.678,22.345,-24.567,0.834,0.345,0.678,18.9,-19.6
52.345,58.901,0.567,0.567,0.456,-0.123,55.6,0.3
87.654,79.234,11.234,0.067,0.034,0.567,80.0,8.9
28.901,32.567,-16.789,0.723,0.789,-0.456,28.9,-13.4
63.456,61.234,5.678,0.289,0.156,0.345,58.7,3.8
19.234,25.678,20.345,0.789,0.234,0.789,22.3,16.2
71.234,69.567,-9.012,0.178,0.089,-0.234,67.8,-6.7
42.567,49.012,14.567,0.456,0.678,0.123,46.3,10.2
9.012,16.789,-28.901,0.956,0.123,0.234,12.5,-23.1
58.901,64.567,8.901,0.345,0.234,0.567,60.4,6.3
31.234,38.901,-12.345,0.612,0.789,-0.345,34.6,-9.8
82.345,75.678,22.345,0.089,0.056,0.456,77.1,17.9
14.567,20.123,-19.567,0.845,0.456,0.789,16.8,-15.6
49.012,54.567,-3.456,0.523,0.345,-0.123,50.9,-2.4
68.901,71.234,17.890,0.234,0.123,0.345,68.5,14.3
25.678,30.456,-11.234,0.756,0.678,-0.567,27.4,-8.9
73.456,77.890,6.789,0.145,0.067,0.678,75.6,5.1
38.901,44.567,23.456,0.489,0.345,0.234,41.8,18.7
6.789,14.567,-26.789,0.923,0.234,0.456,10.2,-21.4
55.678,60.234,9.456,0.378,0.456,-0.234,56.5,7.2
86.789,78.901,-7.890,0.123,0.089,0.345,80.0,-5.9
17.890,24.567,18.456,0.812,0.567,0.678,20.1,14.7
62.345,65.789,-14.567,0.298,0.234,-0.456,61.2,-11.2
95.678,80.000,0.234,0.045,0.023,0.789,80.0,0.2
32.567,40.123,15.678,0.634,0.789,0.234,36.8,12.5
79.234,72.345,-22.345,0.178,0.123,-0.567,75.4,-17.8
11.234,19.678,27.890,0.878,0.345,0.567,15.6,22.3
48.901,55.678,-4.567,0.456,0.234,-0.123,52.7,-3.2
70.123,74.567,13.456,0.234,0.156,0.456,71.8,10.7
21.345,28.901,-20.123,0.734,0.678,-0.456,24.9,-16.1
59.567,62.345,10.789,0.389,0.345,0.234,58.4,8.4
84.567,77.234,-16.789,0.156,0.089,-0.234,76.0,-13.4
16.234,23.456,21.678,0.845,0.456,0.567,19.2,17.3
43.890,47.123,-9.456,0.512,0.567,-0.123,45.6,-7.5
74.567,70.234,16.789,0.189,0.123,0.345,71.2,13.4
29.012,34.567,-23.456,0.689,0.789,-0.567,31.8,-18.7
66.789,68.901,11.234,0.267,0.234,0.456,65.9,9.0
